"view_count"	"like_count"	"dislike_count"	"duration"	"id"	
290645	10328	96	1903.0	"1jEx9rRroHk"	
268302	10497	71	1562.0	"27X944qp9f4"	
372221	14792	133	1591.0	"GEbHOIMtqtY"	
360234	12513	78	1925.0	"TS695iegfoM"	
305709	10957	87	1889.0	"aQ_CriUNT2g"	
344360	15010	113	1841.0	"-SDe384NLPo"	
353980	11686	130	1753.0	"hjkKzrB9vTo"	
313255	11310	97	1692.0	"aHABNPsLHr4"	
352572	15271	94	1833.0	"vif6oaZPcRs"	
344551	11977	96	1910.0	"Kwv_bz9F618"	
260996	9957	360	1573.0	"QkvDrlAIdzM"	
366876	12013	88	1979.0	"MwaSaM6xLIA"	
331728	13774	122	1572.0	"113JG9Oy968"	
339629	12153	96	1699.0	"kPJP4_2DX-4"	
317498	16207	172	1196.0	"nMLKHX4AYgc"	
577835	12943	173	2066.0	"lfpfmfJm1Es"	
348151	15098	133	1472.0	"YmyuvzMg1Is"	
357315	13013	106	1766.0	"TUoRx7zVues"	
298904	17372	142	2070.0	"4rv-GCzcnf8"	
371165	12888	95	1792.0	"dWah63YAHFY"	
313635	15146	123	1410.0	"tJEqBTd6Gfc"	
350519	12360	84	1422.0	"ICq0MEZni4E"	
456733	17335	147	1837.0	"OjNr80jbcWw"	
399061	12201	94	1772.0	"o7HIYlcbEWc"	
396976	14951	126	1632.0	"2qCBbDoJu5o"	
355382	12849	103	1576.0	"sxxSnytZx_g"	
393389	12230	117	1860.0	"FUTuDpfoiT0"	
378572	13213	103	1752.0	"E7qSQT-X2oU"	
413654	14825	121	1707.0	"5fRYGQUETeg"	
403820	13447	81	1810.0	"2Mbo9xkG0Hs"	
117038	4464	82	1090.0	"1kg-FbH-BrM"	
387024	12575	107	1896.0	"RFR1qjL1NR0"	
83300	3705	61	1348.0	"IvJ-SEB77xA"	
99109	4367	65	1417.0	"cdfv0eE2Jqw"	
385605	13207	105	1701.0	"RQdJ--zMuHs"	
382752	13735	119	1705.0	"61qZf4tEx8g"	
389302	12700	90	1752.0	"Opbp3uEQZYI"	
402662	13421	121	1783.0	"3Xq3Cx24Z3c"	
129597	4653	111	1338.0	"-maxd0KUb9g"	
99905	4387	75	1147.0	"53oo5VFPHOM"	
406770	13158	97	2066.0	"04yfs5C573o"	
100320	4545	57	1226.0	"1uCWQpZqhm4"	
340015	14656	100	1558.0	"s9au70jzHXI"	
97117	4615	54	1187.0	"gFxuJSWup4Q"	
390716	13814	97	1614.0	"bKU9lJ-LyOk"	
109014	4857	96	1254.0	"HRnmiB1Jo-M"	
103959	4492	62	1413.0	"k8J3pxR-dFc"	
396990	13770	86	1893.0	"xXxzs4N-KUA"	
106400	4795	55	1322.0	"KbjIRiWqr8U"	
396111	13555	95	1658.0	"ut7sPEuEAzc"	
117324	4945	53	1286.0	"6i1BlaX-ST4"	
436654	14527	90	1667.0	"TEE1v0pxreE"	
345117	13763	151	1141.0	"moBcNvNo0XI"	
109907	4808	51	1176.0	"GNeMH8tguD4"	
427037	14293	104	1732.0	"R2eZGT0VJfQ"	
123953	5045	92	1262.0	"F8ainVABNKI"	
131835	5439	64	1289.0	"B9fMYuk3Y_g"	
426908	16514	101	1486.0	"3-4nzpU-vW4"	
123585	5180	42	1291.0	"L9nCi0z5oCw"	
462320	14846	82	1883.0	"ygEAAqraBNo"	
123517	5187	32	1396.0	"tsOZm0J36H4"	
465146	19931	74	1759.0	"o5uitdquFIU"	
117440	4869	52	1261.0	"a1twyusrwyo"	
435690	15766	87	1704.0	"KF0S1fRYqe4"	
443438	15247	96	1714.0	"dMiJFy6h8b0"	
110501	4531	170	1079.0	"_flbeJVv7Oc"	
120072	4835	50	1424.0	"u9doie6X8BU"	
480959	14855	70	1994.0	"KPhAyQQnJ9E"	
201918	8036	251	1551.0	"lh6X1J8XzsI"	
125963	5180	31	1316.0	"YMDhboZOyQE"	
440423	15344	65	1979.0	"hwFKdtU9bLc"	
123097	5080	38	1220.0	"91K3xFbOWYA"	
466718	14166	106	1950.0	"f9EAKu3sxrM"	
128162	5318	31	1224.0	"QiyCd0ACSGM"	
506539	15191	74	1878.0	"7NpPO8_TjfQ"	
404454	15059	86	1469.0	"Sye8bC1CX3A"	
138175	6423	43	1767.0	"wOmQqqlYnl0"	
511782	14652	90	1912.0	"zVQNXwDvb-E"	
124653	5413	47	1239.0	"sL7Afs7JXXk"	
529169	16049	115	1906.0	"P3T5JjibMwY"	
127473	5373	56	1235.0	"KERCPpWX6sk"	
555029	15464	99	2129.0	"LM_mGHpmYOw"	
343227	13078	69	1527.0	"5geqTtoO6Mk"	
116625	5035	40	1288.0	"DYCGZ1xv9yA"	
584448	18737	99	2082.0	"-lg-Fq0foyw"	
126043	5129	47	1346.0	"ZtfOZAKLz9E"	
243043	8888	69	1542.0	"M1AxnG9W3kw"	
554162	15894	74	2125.0	"PemMbilDhNg"	
133464	5699	38	1317.0	"BOR4sCGeYM8"	
603752	18770	109	2190.0	"eRgXVNVc_D0"	
132108	5774	47	1226.0	"3sgH_ZijVhg"	
689358	18766	91	2348.0	"xr2q0ad0x_k"	
397525	14942	63	1681.0	"MA6RYwI6Rhk"	
142361	5878	39	1543.0	"rp_bQhqsN4U"	
680749	19463	100	2065.0	"idOzJBdWVKs"	
143032	5824	37	1337.0	"I7K4yzsqrTw"	
697317	19245	132	2107.0	"Yk8_4Y7XndY"	
238337	9815	49	1204.0	"6FC03-EIEH8"	
150657	6792	50	1319.0	"QYwb8w_7tAM"	
773521	26939	157	2028.0	"jm_lHiaSYQM"	
137566	5707	46	1158.0	"VFF5RwbZ2Lg"	
1318154	39464	271	1884.0	"WNA3lsmD8M4"	
133773	5459	43	1309.0	"c6SOVtrZgsI"	
